rating,numVotes,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,S.no.,startYear_y,No of seasons available,Language,genre_y,rating_y,age
8.2,15979.0,Undone,Undone,0,2019,\N,23,"Animation,Drama,Fantasy",24,2019.0,1.0,English,"Animation, Drama",8.2,16+
7.4,23318.0,Legacies,Legacies,0,2018,\N,45,"Adventure,Drama,Fantasy",56,2019.0,2.0,English,Drama,,16+
7.3,26.0,Modern Love,Modern Love,0,2018,\N,\N,Comedy,10,2019.0,1.0,English,"Drama, Romance, Comedy",8.0,16+
8.0,27942.0,Modern Love,Modern Love,0,2019,\N,32,"Comedy,Romance",10,2019.0,1.0,English,"Drama, Romance, Comedy",8.0,16+
7.7,5089.0,Chacha Vidhayak Hain Humare,Chacha Vidhayak Hain Humare,0,2018,2021,\N,Comedy,46,2018.0,1.0,Hindi,"Drama, Comedy",,16+
5.7,300.0,The Adventures of Rocky and Bullwinkle,The Adventures of Rocky and Bullwinkle,0,2018,2019,30,"Adventure,Animation,Comedy",342,2018.0,2.0,English,Kids,5.4,All
7.0,9358.0,Treadstone,Treadstone,0,2019,2019,44,Action,64,2019.0,1.0,English,Drama,7.0,16+
5.4,56.0,Caligula,Caligula,0,2018,2018,23,"Action,Animation,Sci-Fi",357,2018.0,1.0,Japanese,Comedy,,13+
2.9,141.0,Selfie with Bajrangi,Selfie with Bajrangi,0,2017,\N,\N,Animation,269,2018.0,2.0,English,Kids,,All
7.1,38452.0,Manifest,Manifest,0,2018,2022,43,"Drama,Mystery,Sci-Fi",66,2019.0,2.0,English,Drama,,16+
7.5,16433.0,Tales from the Loop,Tales from the Loop,0,2020,\N,50,"Drama,Sci-Fi",20,2020.0,1.0,English,Sci-fi ,7.5,18+
7.5,49702.0,Star Trek: Picard,Star Trek: Picard,0,2020,\N,46,"Action,Adventure,Drama",74,2020.0,1.0,English,Sci-fi,7.6,18+
6.8,4216.0,Dispatches from Elsewhere,Dispatches from Elsewhere,0,2020,\N,\N,"Drama,Mystery",105,2020.0,1.0,English,"Drama, Suspense",,16+
7.3,184.0,Inside Jokes,Inside Jokes,0,2018,\N,50,Comedy,337,2018.0,1.0,English,"Arts, Entertainment, Culture",7.1,16+
7.0,890.0,Vella Raja,Vella Raja,0,2018,2019,24,"Action,Crime,Drama",83,2018.0,1.0,Hindi,Action,,16+
5.5,1031.0,The Red Line,The Red Line,0,2019,2019,42,"Crime,Drama",221,2019.0,1.0,English,Drama,,All
4.3,10.0,Cocomong,Cocomong,0,2008,\N,\N,Animation,252,2008.0,2.0,English,Kids,,All
